site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
CA-Mer,4,6.5,,,,,,LT,0.92,14,26,45.409,-75.519,WET,Dfb,0.25,1.3,,,1.521442644,0.457989991,0.252829999,0.181639999,0.634989977,0.205159992
CA-NS3,10,5.8,,260,502.22,-2.87,,F15,1.11,36,6,55.912,-98.382,ENF,Dfc,4,5.33,,,2.078467107,0.51831001,0.218529999,0.265430003,0.65903002,0.299780011
CA-Oas,39,4.7,,530,428.53,0.34,FLUXNET2015,F15,2.376,89,28,53.629,-106.198,DBF,Dfc,21,3.04,1996,2010,16.81627553,0.457049996,0.275379986,0.163240001,0.621039987,0.18167001
CA-Obs,26,2.5,,628.94,405.6,0.79,FLUXNET2015,F15,0.843,53,29,53.987,-105.118,ENF,Dfc,11,3.41,1997,2010,4.764634111,0.485949993,0.265949994,0.172169998,0.69016999,0.219999999
CA-Ojp,29,2.5,,,,,,LT,1.099,92,30,53.916,-104.692,ENF,Dfc,16.7,2.06,,,5.161168857,0.425480008,0.234219998,0.15061,0.661620021,0.19126001
CA-SJ1,10,2.5,,,,,,LT,1.5,61,34,53.908,-104.656,ENF,Dfc,1.7,1.14,,,1.965353511,0.405339986,0.227950007,0.143739998,0.645430028,0.177389979
CA-SJ2,5,2.5,,,,,,LT,,52,35,53.945,-104.649,ENF,Dfc,0.19,0.18,,,0.30326765,0.380609989,0.220479995,0.135389999,0.621779978,0.160129994
CA-TP1,13.6,5.8,,265,1036,8,,F15,2.13,54,36,42.661,-80.56,ENF,Dfb,6.5,0.45,,,5.856319784,0.285109997,0.174659997,0.10503,0.477470011,0.11045
CA-TP3,20.5,5.8,,184,1036,8,,F15,1.13,206,36,42.707,-80.348,ENF,Dfb,16.2,5.9,,,13.79569939,0.281269997,0.171729997,0.103890002,0.502659976,0.109540001
CA-TPD,36.6,4.7,,260,1036,8,FLUXNET2015,F15,,190,37,42.635,-80.558,DBF,Dfb,25.7,3.98,2012,2014,7.821244329,0.29449001,0.175380006,0.113329999,0.483720005,0.119110003
CA-WP1,9,6.5,,,,,,LT,1.15,56,38,54.954,-112.467,WET,Dfc,3.4,2.61,,,2.034822286,0.483839989,0.26929,0.179230005,0.671519995,0.214549989
CG-Tch,,3.8,,82,1150,25.7,FLUXNET2015,F15,,4,,-4.289,11.656,SAV,Aw,2,,2006,2009,0,0.221000001,0.110639997,0.1087,0.424860001,0.110360004
CN-Ha2,,6.5,,,,,FLUXNET2015,F15,,0,,37.609,101.327,WET,ET,0.65,2.8,2003,2005,0,0.307709992,0.183270007,0.119029999,0.448190004,0.124439985
CZ-BK2,,2.9,,855,1316,6.7,FLUXNET2015,F15,,169,,49.494,18.543,GRA,Dfb,0.1,,2004,2012,10.51435634,0.359369993,0.235310003,0.116439998,0.523020029,0.12405999
