site_name,Zm,g1,Albedo,Elev,MAP,MAT,Source,Dataset,N_gN_100gleaf,AGB_t_DM_ha,Ref,lat,long,LC,Koppen,hc,LAImax,DATA_START,DATA_END,hc_RS,theta_f_mean,PAW_mean,theta_r_mean,theta_s_mean,theta_wp_mean
US-xSC,51.89,4.7,,361,1125.5,11.6,AMF_FLX,,,,,38.8929,-78.1395,DBF,Cfa,,,2019,2021,17.41339606,0.338629991,0.212009996,0.120949998,0.470959991,0.126619995
US-xSE,62.04,4.7,,15,1074.65,13.6,AMF_FLX,,,,,38.8901,-76.56,DBF,Cfa,,,2017,2021,16.83250916,0.288159996,0.166529998,0.116379999,0.441419989,0.121629998
US-xSJ,39.44,3.8,,368,539.62,16.4,AMF_FLX,,,,,37.1088,-119.7323,SAV,Csa,,,2019,2021,1.618275902,0.208340004,0.111754999,0.093535997,0.386130005,0.096585006
US-xSL,8.42,4,,1364,432.67,9.7,AMF_FLX,,,,,40.4619,-103.0293,CRO,Bsk,,,2017,2023,0.01348369,0.277749985,0.139300004,0.132890001,0.39210999,0.138449982
US-xSR,8.41,3.9,,983,346,19.3,AMF_FLX,,,,,31.9107,-110.8355,OSH,Bsk,,,2017,2021,0,0.25711,0.108649999,0.142979994,0.378210008,0.148460001
US-xST,22.48,4.7,,481,797.56,4.8,AMF_FLX,,,,,45.5089,-89.5864,DBF,Dfb,,,2017,2021,6.496900517,0.2377,0.156101003,0.077596001,0.433149993,0.081598997
US-xTA,35.83,5.8,,135,1382.68,17.2,AMF_FLX,,,,,32.9505,-87.3933,ENF,Cfa,,,2017,2021,12.88612785,0.282489985,0.157590002,0.119659998,0.437400013,0.124899983
US-xTR,36.06,4.7,,472,797.56,4.8,AMF_FLX,,,,,45.4937,-89.5857,DBF,Dfb,,,2017,2021,6.004819108,0.232209995,0.154869005,0.073325999,0.440860003,0.07734099
US-xUK,35.86,4.7,,335,990.63,12.7,AMF_FLX,,,,,39.0404,-95.1921,DBF,Cfa,,,2017,2021,15.65352161,0.371910006,0.210840002,0.154369995,0.475749999,0.161070004
US-xUN,39.23,5.5,,518,802.3,4.3,AMF_FLX,,,,,46.2339,-89.5373,MF,Dfb,,,2017,2021,16.4827597,0.288020015,0.197347999,0.085376002,0.478309989,0.090672016
US-xWD,8.69,3.6,,579,493.76,4.9,AMF_FLX,,,,,47.1282,-99.2414,GRA,Dfb,,,2017,2023,0.090585026,0.356260002,0.183400005,0.164550006,0.49665001,0.172859997
US-xYE,18.52,2.6,,2116,493.44,3.4,AMF_FLX,,,,,44.9535,-110.5391,ENF,Dfc,,,2018,2021,2.425050939,0.334500015,0.200499997,0.127619997,0.481079996,0.134000018
